20 3
-112.289 65.9172 56.5579
-118.956 62.2201 58.5453
-121.724 59.7787 59.818
-125.897 54.141 61.2077
-128.685 48.4134 59.93
-130.328 43.1216 57.4009
-132.634 35.0039 55.2254
-134.572 27.8137 55.351
-136.561 18.2201 55.465
-137.757 8.7901 55.521
-138.172 -0.4236 55.5101
-137.757 -9.6373 55.521
-136.561 -19.0673 55.465
-134.572 -28.6609 55.351
-132.252 -38.2994 55.1206
-129.15 -44.8079 58.1151
-125.944 -52.2157 61.3165
-122.298 -59.7055 60.3151
-115.485 -63.6631 58.897
-108.7376 -66.1576 57.0706
