39 3
-0.691231 -6.33707 24.5844
-0.0545609 -6.27943 24.5997
0.570638 -6.19103 24.6192
1.17328 -6.02937 24.6557
1.7736 -5.87415 24.6911
2.38434 -5.76248 24.7247
2.98983 -5.62235 24.7619
3.58074 -5.43149 24.8001
4.15581 -5.20235 24.8394
4.69503 -4.90952 24.8758
5.15136 -4.51302 24.904
5.52197 -4.03274 24.93
5.85455 -3.51817 24.9593
6.1864 -3.00062 24.9938
6.4575 -2.44649 25.0318
6.59022 -1.83172 25.0707
6.64358 -1.17815 25.1074
6.86945 -0.554302 25.1647
7.32851 -0.109911 25.2835
7.70691 0.32343 25.3986
7.95127 0.811648 25.4948
7.79436 1.32498 25.444
7.41885 1.79508 25.3309
7.00512 2.29271 25.2014
6.82652 2.93615 25.1466
6.83009 3.59075 25.1268
6.81624 4.21986 25.1021
6.61988 4.80075 25.0724
6.26227 5.29901 25.038
5.88834 5.79446 25.0056
5.55578 6.32321 24.9842
5.20195 6.83401 24.9679
4.77793 7.29006 24.9452
4.26563 7.65238 24.9097
3.70333 7.94058 24.8681
3.11152 8.16358 24.825
2.50054 8.33295 24.7851
1.88687 8.48958 24.7499
1.29223 8.71117 24.7125
