20 3
1.236068 3.804226 7.539822
1.240283 3.817197 7.375228
1.252811 3.855757 7.215123
1.273313 3.918853 7.063875
1.301227 4.004765 6.925610
1.335793 4.111150 6.804098
1.376069 4.235104 6.702656
1.420954 4.373248 6.624049
1.469226 4.521812 6.570422
1.519567 4.676745 6.543238
1.570603 4.833820 6.543238
1.620944 4.988753 6.570422
1.669216 5.137318 6.624049
1.714101 5.275461 6.702656
1.754376 5.399416 6.804098
1.788943 5.505800 6.925610
1.816857 5.591712 7.063875
1.837359 5.654808 7.215123
1.849887 5.693368 7.375228
1.854102 5.706339 7.539822
