20 3
-1.913417 4.619398 1.000000
-1.850430 4.467332 0.986361
-1.789160 4.319414 0.945817
-1.731280 4.179680 0.879474
-1.678368 4.051939 0.789141
-1.631868 3.939677 0.677282
-1.593047 3.845957 0.546948
-1.562966 3.773333 0.401695
-1.542444 3.723789 0.245485
-1.532041 3.698674 0.082579
-1.532041 3.698674 -0.082579
-1.542444 3.723789 -0.245485
-1.562966 3.773333 -0.401695
-1.593047 3.845957 -0.546948
-1.631868 3.939677 -0.677282
-1.678368 4.051939 -0.789141
-1.731280 4.179680 -0.879474
-1.789160 4.319414 -0.945817
-1.850430 4.467332 -0.986361
-1.913417 4.619398 -1.000000
