49 3
 0.00844638 -0.0411311 -0.0022834
 0.00811249 -0.0403455 -0.00553393
 0.0101436 -0.0388443 -0.00729662
 0.0133493 -0.0378008 -0.00880359
 0.0161121 -0.036596 -0.00875568
 0.0185092 -0.0353625 -0.00749815
 0.0201679 -0.0337456 -0.00501836
 0.0105374 -0.041914 0.000250783
 0.0141924 -0.0420109 0.00202992
 0.0178772 -0.040661 0.00236862
 0.0203339 -0.0373102 0.000468482
 0.0208217 -0.0349059 -0.00184147
 0.0154377 -0.0407622 -0.00260635
 0.0148996 -0.0394263 -0.00524192
 0.0177397 -0.0379129 -0.0054959
 0.018214 -0.0389023 -0.00299279
 -0.014677 -0.0383241 -0.00300969
 -0.0131494 -0.0385143 -0.00535798
 -0.0105876 -0.0390736 -0.00648577
 -0.00766992 -0.0396931 -0.00637366
 -0.00454769 -0.0404731 -0.00628238
 -0.00231187 -0.0415673 -0.00446795
 -0.00223492 -0.0419561 -0.000999059
 -0.00489219 -0.0428495 0.001586
 -0.00539401 -0.0407148 -0.00314227
 -0.00771852 -0.0427337 -0.000872322
 -0.00707385 -0.0433214 0.00247161
 -0.010092 -0.0429997 0.00324029
 -0.0132879 -0.0409809 0.00241879
 -0.0108899 -0.0418444 -0.00144529
 -0.0140983 -0.0398498 -0.000454738
 0.000269852 -0.0465952 -0.00406824
 -0.00105508 -0.0435704 -0.00434429
 -0.00177263 -0.0439577 -0.00767893
 -0.00244366 -0.0441673 -0.0108711
 -0.000710836 -0.0473898 -0.0107929
 -0.000125244 -0.0469751 -0.00733392
 -0.00149927 -0.0474066 -0.0146009
 0.00257741 -0.0491715 -0.0107731
 0.00233978 -0.0489257 -0.0148515
 0.00286942 -0.0479087 -0.00396131
 0.00565829 -0.0470397 -0.00726843
 0.00681188 -0.0438181 -0.00567089
 0.00624276 -0.0460261 -0.00250918
 0.00627281 -0.0460925 -0.0106734
 0.00607521 -0.0468645 -0.0162821
 0.00788848 -0.0439885 -0.0139016
 0.00788848 -0.0439885 -0.0139016
 0.00941018 -0.0411429 -0.0119644


